created_at,data.adjectives_bikes.0,data.adjectives_bikes.1,data.adjectives_bikes.2,data.adjectives_motors.0,data.adjectives_motors.1,data.adjectives_motors.2,data.adjectives_pubs.0,data.adjectives_pubs.1,data.adjectives_pubs.2,data.constraints.0,data.constraints.1,data.constraints.2,data.constraints.3,data.employment_rate,data.equipments.0,data.equipments.1,data.equipments.2,data.equipments.3,data.equipments.4,data.equipments.5,data.equipments.6,data.freq_mod_bike,data.freq_mod_car,data.freq_mod_combined,data.freq_mod_moto,data.freq_mod_pro_inter_car,data.freq_mod_pro_inter_combined,data.freq_mod_pro_inter_plane,data.freq_mod_pro_inter_train,data.freq_mod_pro_local_bike,data.freq_mod_pro_local_car,data.freq_mod_pro_local_combined,data.freq_mod_pro_local_moto,data.freq_mod_pro_local_pub,data.freq_mod_pro_local_train,data.freq_mod_pro_local_walking,data.freq_mod_pro_region_car,data.freq_mod_pro_region_combined,data.freq_mod_pro_region_moto,data.freq_mod_pro_region_plane,data.freq_mod_pro_region_pub,data.freq_mod_pro_region_train,data.freq_mod_pub,data.freq_mod_train,data.freq_mod_walking,data.freq_trav_pro_inter,data.freq_trav_pro_local,data.freq_trav_pro_region,data.importance_comfort,data.importance_cost,data.importance_env,data.importance_flex,data.importance_most,data.importance_rel,data.importance_time,data.needs_bike,data.needs_car,data.needs_moto,data.needs_pub,data.needs_train,data.needs_walking,data.trav_pro.0,data.trav_pro.1,data.trav_pro.2,data.travel_time,typo.reco.reco_dt2.0,typo.reco.reco_dt2.1,updated_at
2025-03-12T15:38:28.277100,fast,ecological,autonomous,polluting,expensive,autonomous,practical,relax,fast,,,,,100,bike,train_subs,upt_subs,,,,,1,0,TRUE,0,0,FALSE,0,5,3,0,TRUE,0,4,1,2,0,TRUE,0,0,6,6,2,0,2,5,6,5,2,4,5,3,4,2,4,4,1,1,4,2,4,,,,35,tpu,vae,2025-03-13T15:33:13.097085
2025-03-13T09:13:30.079750,reliable,healthy,relax,polluting,dangerous,constraining,tiring,ecological,safe,heavy,,,,100,bike,car_driver,,,,,,2,1,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0,0,0,1,1,5,1,1,1,1,3,1,1,3,3,1,,,,45,tpu,train,2025-03-13T14:30:59.779947
2025-03-13T09:14:48.622697,fast,pleasant,relax,slow,congested,polluting,practical,reliable,safe,,,,,100,bike,,,,,,,3,0,TRUE,0,0,FALSE,0,6,5,0,TRUE,0,3,0,5,0,FALSE,0,0,0,0,3,3,0,4,4,0,5,1,5,3,1,5,5,5,1,1,5,1,5,,,,40,vae,tpu,2025-03-13T09:23:47.725482
2025-03-13T11:14:14.030707,fast,cheap,practical,impractical,polluting,congested,bad_weather,reliable,constraining,,,,,100,bike,car_driver,upt_subs,,,,,4,0,TRUE,0,0,FALSE,0,1,3,0,FALSE,0,3,4,3,0,TRUE,2,0,2,2,0,1,0,1,5,2,3,4,5,5,5,3,5,5,2,3,3,2,2,,,,25,vae,tpu,2025-03-13T11:23:54.401963
2025-03-13T14:11:29.612352,,,,,,,,,,,,,,80,eab,upt_subs,train_subs,,,,,4,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,60,tpu,train,2025-03-13T15:30:13.815785
2025-03-13T14:36:10.581895,expensive,tiring,bad_weather,fast,pleasant,practical,slow,relax,safe,dependent,,,,100,car_driver,,,,,,,0,4,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,2,1,5,1,2,5,2,5,5,1,1,1,1,5,1,,,,60,elec,train,2025-03-13T14:41:09.501533
2025-03-13T14:47:34.170455,fast,cheap,practical,healthy,autonomous,pleasant,polluting,dangerous,relax,dependent,,,,100,bike,eab,train_subs,,,,,0,2,TRUE,0,1,FALSE,0,0,0,0,FALSE,0,0,0,0,2,FALSE,0,0,0,0,2,0,0,1,0,2,4,3,5,1,4,3,3,4,3,1,3,3,2,,,,30,vae,elec,2025-03-13T14:49:16.330117
2025-03-13T14:51:49.818431,,,,,,,,,,,,,,80,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-13T14:53:05.344638
2025-03-13T15:17:09.862325,healthy,ecological,reliable,congested,tiring,unpleasant,ecological,safe,relax,dependent,,,,80,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,5,0,2,1,5,2,4,3,5,4,5,1,1,1,1,1,5,,,,10,elec,inter,2025-03-13T15:27:17.321867
2025-03-13T15:19:21.804152,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-13T15:20:01.443000
2025-03-13T15:29:42.553180,,,,,,,,,,,,,,50,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-13T15:30:09.338794
2025-03-13T15:30:19.921792,pleasant,healthy,ecological,polluting,tiring,congested,fast,ecological,practical,,,,,80,car_driver,train_subs,,,,,,0,2,TRUE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,2,2,0,0,0,0,4,1,5,4,1,4,1,1,1,1,5,1,1,,,,100,elec,covoit,2025-03-13T15:33:30.639278
2025-03-13T15:39:34.933226,cheap,tiring,ecological,polluting,congested,expensive,reliable,practical,ecological,,,,,100,,,,,,,,0,0,TRUE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,0,0,8,8,2,2,0,0,0,8,4,4,3,4,3,4,5,1,1,1,5,5,1,,,,120,tpu,train,2025-03-13T15:55:33.641586
2025-03-13T15:45:42.945843,,,,,,,,,,,,,,100,bike,,,,,,,4,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,0,0,5,2,5,4,5,4,5,5,1,1,4,5,5,,,,20,vae,covoit,2025-03-13T15:50:29.657016
2025-03-13T15:57:14.147284,reliable,autonomous,relax,impractical,ecological,safe,impractical,expensive,dangerous,,,,,100,bike,,,,,,,3,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,3,0,3,0,0,0,1,4,5,1,1,1,2,4,1,1,5,5,1,,,,20,vae,tpu,2025-03-14T08:09:39.669512
2025-03-13T15:57:26.065602,cheap,ecological,dangerous,polluting,practical,autonomous,fast,pleasant,ecological,night,,,,100,bike,,,,,,,5,0,TRUE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,1,1,0,0,0,2,4,4,2,1,1,4,5,1,1,2,1,1,,,,20,vae,covoit,2025-03-13T16:02:31.473342
2025-03-13T16:07:44.202404,cheap,ecological,tiring,fast,dangerous,polluting,bad_weather,cheap,practical,,,,,100,bike,upt_subs,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,5,0,0,0,0,0,4,3,4,4,5,4,5,3,1,1,5,1,1,,,,15,vae,covoit,2025-03-14T07:56:42.799302
2025-03-13T16:29:05.902167,pleasant,ecological,cheap,autonomous,polluting,practical,cheap,ecological,safe,disabled,,,,60,upt_subs,mob_subs,eab,car_driver,,,,0,5,FALSE,0,0,FALSE,0,1,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,2,0,0,0,1,0,2,5,3,5,4,3,5,4,3,4,1,4,4,2,,,,45,covoit,inter,2025-03-13T16:39:47.382902
2025-03-13T16:33:47.888894,,,,,,,,,,,,,,100,bike,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,2,0,5,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,25,,,2025-03-13T16:49:27.303222
2025-03-13T17:51:38.133310,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-13T17:51:51.603042
2025-03-13T17:54:32.780152,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-13T17:54:39.099491
2025-03-13T18:07:35.789391,fast,autonomous,healthy,polluting,autonomous,expensive,ecological,safe,practical,dependent,,,,80,bike,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,4,0,0,0,0,0,4,4,5,5,2,4,4,5,1,3,5,4,1,,,,30,vae,elec,2025-03-13T18:11:40.261858
2025-03-13T18:15:18.312617,fast,cheap,ecological,expensive,dangerous,unpleasant,relax,practical,safe,heavy,,,,40,eab,upt_subs,,,,,,3,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,2,5,2,5,2,3,5,5,2,3,3,1,2,,,,15,elec,covoit,2025-03-13T18:31:09.291694
2025-03-13T21:15:52.246387,cheap,fast,practical,impractical,polluting,tiring,pleasant,reliable,practical,,,,,75,bike,upt_subs,train_subs,,,,,3,0,TRUE,0,0,FALSE,0,0,0,0,TRUE,0,1,1,1,0,TRUE,0,0,4,4,4,4,4,0,8,4,4,2,4,3,4,4,3,3,1,1,5,4,5,,,,90,tpu,inter,2025-03-13T21:23:17.774444
2025-03-14T07:16:14.651528,slow,cheap,ecological,fast,practical,polluting,fast,ecological,congested,,,,,40,train_subs,upt_subs,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,5,0,0,0,0,0,2,1,1,4,1,5,3,1,1,1,5,5,1,,,,90,tpu,inter,2025-03-14T07:24:43.468882
2025-03-14T07:49:45.142134,impractical,bad_weather,dangerous,fast,expensive,impractical,practical,reliable,safe,,,,,100,upt_subs,bike,,,,,,0,0,FALSE,0,0,TRUE,1,2,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,1,0,1,1,3,2,1,2,2,4,2,1,1,5,2,3,,,,25,tpu,vae,2025-03-14T07:58:24.140254
2025-03-14T08:01:49.736847,healthy,ecological,autonomous,congested,polluting,expensive,ecological,safe,relax,heavy,,,,90,bike,upt_subs,,,,,,5,0,TRUE,0,0,FALSE,0,0,10,0,FALSE,0,0,0,0,0,FALSE,0,0,0,3,1,1,0,0,10,3,2,1,5,5,5,3,2,5,1,1,2,1,1,,,,30,tpu,inter,2025-03-14T08:14:12.748425
2025-03-14T08:09:43.806868,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-14T08:09:45.138556
2025-03-14T08:10:19.682400,cheap,healthy,autonomous,expensive,polluting,autonomous,ecological,congested,,,,,,100,bike,upt_subs,car_driver,,,,,4,0,TRUE,0,0,TRUE,1,3,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,4,4,0,3,1,1,5,1,5,3,5,4,3,5,1,1,5,4,4,,,,45,train,tpu,2025-03-14T08:25:37.522491
2025-03-14T08:16:26.288406,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-14T08:16:27.329688
2025-03-14T08:31:28.960184,bad_weather,,,fast,reliable,practical,slow,unpleasant,congested,,,,,45,eab,,,,,,,0,5,FALSE,0,0,FALSE,1,0,8,0,FALSE,2,0,0,0,0,FALSE,0,0,0,0,0,0,0,1,6,0,3,2,4,4,2,4,4,5,1,1,3,1,1,,,,30,vae,tpu,2025-03-14T08:52:24.269577
2025-03-14T08:50:56.119094,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-14T08:51:05.992897
2025-03-14T09:00:36.514209,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-14T09:00:36.514221
2025-03-14T12:19:58.914798,autonomous,healthy,tiring,autonomous,practical,congested,fast,expensive,practical,,,,,50,bike,upt_subs,train_subs,,,,,0,0,TRUE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,0,0,4,4,5,0,5,0,0,4,3,5,4,3,1,5,5,3,1,1,5,5,5,,,,40,tpu,vae,2025-03-14T12:33:46.101649
2025-03-14T18:49:28.158037,,,,,,,,,,,,,,60,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-27T08:58:42.007507
2025-03-14T18:52:36.788985,ecological,practical,autonomous,expensive,polluting,,constraining,ecological,,dependent,,,,80,upt_subs,train_subs,bike,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,4,0,0,0,0,0,3,3,5,5,2,5,5,5,1,1,5,5,1,,,,30,vae,elec,2025-03-14T18:58:49.360238
2025-03-14T18:59:45.896475,,,,,,,,,,dependent,,,,100,bike,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,30,,,2025-03-14T19:01:00.242094
2025-03-15T14:00:28.266763,ecological,pleasant,reliable,pleasant,polluting,practical,tiring,unpleasant,expensive,dependent,,,,80,car_driver,upt_subs,,,,,,0,0,TRUE,0,0,FALSE,1,1,0,0,TRUE,0,5,5,5,0,FALSE,0,0,0,0,3,3,3,1,5,1,5,4,4,2,2,3,3,1,1,1,2,2,5,,,,50,tpu,inter,2025-03-15T14:05:14.630283
2025-03-16T19:01:55.383289,autonomous,ecological,reliable,fast,polluting,autonomous,expensive,pleasant,safe,heavy,night,,,20,eab,upt_subs,,,,,,4,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,0,2,0,3,4,4,1,1,4,5,4,1,1,5,4,4,,,,15,tpu,inter,2025-03-16T19:14:49.795559
2025-03-17T13:45:50.467056,ecological,autonomous,healthy,congested,polluting,expensive,ecological,relax,reliable,,,,,25,eab,upt_subs,,,,,,1,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,1,1,4,3,5,4,4,4,3,5,1,1,5,3,3,,,,10,velo,vae,2025-03-17T14:07:14.529657
2025-03-17T13:58:29.417798,fast,relax,healthy,slow,polluting,congested,slow,constraining,ecological,,,,,100,bike,train_subs,upt_subs,car_driver,,,,3,0,TRUE,0,0,FALSE,0,0,2,0,FALSE,0,2,1,4,0,FALSE,0,0,0,0,2,2,5,0,4,0,3,1,5,5,5,5,5,5,1,1,3,2,5,,,,40,vae,tpu,2025-03-17T14:02:59.857640
2025-03-17T14:00:06.097441,,,,,,,,,,,,,,0,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-17T14:00:42.407642
